userName,score,at,content,manual_label
Aglaonema,5,2023-03-28 03:38:27,Aplikasi sudah ada kemajuan. Semoga semakin ada peningkatan lagi dan mempermudah masyarakat Jogja dalam mengurus administrasi kependudukan,positive
Septi Ermawati,5,2023-03-28 02:48:03,"aplikasinya sangat membantu, aduan melalui UPIK tertangani dengan cepat.",positive
Ida Nuurul Huda,5,2023-03-28 02:38:48,"mantap sekali aplikasinya, bisa ngurus surat tanpa harus ke kantor dinas.. bisa dilakukan jarak jauh, semoga update lebih bagus lagi dengan tambah fitur lainnya 👍👍",positive
Ermin Asmaun,5,2023-03-28 02:16:25,Aplikasi yang bagus mantab good job,positive
Firda Amalia,5,2023-03-28 02:10:08,"memudahkan, semoga terus upgrade lagi dengan fitur2 terbaiknya ya",neutral
Ryuu Matsuda,4,2023-03-27 13:21:39,"Aplikasi bagus, walau ada beberapa bug, bisa di tingkatkan",neutral
Allen Kusuma,1,2023-03-27 12:37:22,"Maaf sementara ini aplikasi ini saya uninstal karena ke logout sendiri.dan klo mau masuk disuruh masukin nama,email,no.ktp n password itu yang bikin males.padahal setau saya aplikasi jas saya sudah kebuka kok bisa ke logout sendiri.jadi males gunakan apk ini apalagi klo pas menggunakan WiFi dari Pemkot susah masuknya trus untuk cctv terbatas di kota saja ga semua seluruh Jogjakarta meliputi cctv Sleman,Bantul,kulon Progo n Wonosari.",negative
D Ayu Wulansari,5,2023-03-27 04:33:25,Berguna sesuai dengan nama aplikasinya sangat smart service,positive
Ellysa Puspita N,5,2023-03-27 03:49:35,Mantap. Tingkatkan terus aplikasinya,neutral
Dwi Wahyu Puspitasari,5,2023-03-27 02:27:16,Aplikasinya sangat membantu untuk pembuatan akta & KIA,positive
rera fadira,5,2023-03-27 02:24:41,Mantap. Tingkatkan terus aplikasinya,neutral
syamsu effendie,2,2023-03-19 09:36:28,On,neutral
Ronaldus Bagas Prasetyo,5,2023-03-18 01:14:15,Ok lumayan membantu..,neutral
dewomy yanuar,1,2023-03-17 07:39:59,"notif ganggu banget, suaranyaa nyebelin TENG TENG TENG TENG TENG apa lagi kalo pas lgi kumpul2 kerja miting malah jadi malu ditambah notifnya gabisa ilang di atas",negative
Hari Yanto,1,2023-03-16 06:00:34,Yg di dalam teras 2 ga bisa di lihat dari aplikasi ini. Jadi kurang bagus....,negative
Ali Muhaimin,5,2023-03-14 08:47:08,Sangat bermanfaat.,positive
nurharyadi fajarhidayat,5,2023-03-06 02:42:17,Ok,neutral
Sari Sari,4,2023-03-03 10:52:37,Ookkeee,neutral
Bondan Bangun,4,2023-03-03 10:41:04,Ookkeee,neutral
Raden Windarto,3,2023-03-03 01:38:08,Susah mendaftar di jjs smart,negative
Kota Samsuri,4,2023-03-01 12:21:12,Oke,neutral
Yesung Esy,1,2023-02-27 09:51:14,Menurut saya aplikasinya tidak sesuai dengan nama nya yaitu smart Karena untuk mengurus data masih harus chat via whatsapp dimana harus di saat jam kerja Saran saya lebih baik dibuat seperti aplikasi dukcapil smart bantul(bisa mengisi data saat tidak jam kerja di dalam aplikasi/tidak perlu melalui wa dan tinggal menunggu hasilnya keluar saat sudah jam kerja via email) Ada kurang lebihnya mohon maaf Terima kasih🙏,negative
Marsono Adhi,5,2023-02-25 23:00:23,Aduan lampu penerangan jalan mati..selesai 10jam dari laporan Conblok amblas krn hujan...2 hari selesai... Pohon perindang menutup pandangan pemakai jalan... 3hari selesai... Menurut saya penyelesaian masalah masih baik... Terima kasih..JSS.,negative
Ardy PW21,2,2023-02-25 06:29:23,"Maaf,pernah masang aplikasi ini..tapi setelah jarang saya buka mau masuk lagi kok susah? Padahal sudah terdaftar dulunya..",negative
dika feri adianto,1,2023-02-23 05:39:28,Gagal buat akun padahal ktp e yg buat pemerintah....lucu apk nya,negative
Pradana Hidayat,1,2023-02-22 23:43:06,Mohon disempurnakan fitur absensi otomatis yang terbaru tidak berjalan dihp kami yg ada di sekolah kemarin dpt info dr salah satu pegawai dinas pendidikan bisa tetapi setelah kami coba tdk bisa berjalan triamakasih,negative
joko wiyono,1,2023-02-16 21:43:04,"kok ilang dewe. rajelas tenan. Parah ,raono balesan,sering err. Raiso otomatis. Ribet. Bajingan ra jelas",negative
Rika Wistika Sari,1,2023-02-13 03:08:11,Setelah diupdate mlh susah..bgus an kmrin,negative
wahyu joko,1,2023-02-13 02:13:23,Aplikasi msh bnyk bug. Percuma di sosialisasikan di tiap rt. Yg katanya apk jss bisa mempermudah untuk memperoleh layanan. Tp nyatanya sy udah bikin akun dan mau daftar antrian puskesmas malah di suruh login kembali setelah masuk ehh tidak ada kolom yg buat antrian puskesmas. Maunya mo kontrol tensi malah di bikin naik tensi karena apk jss yg membingungkan!,negative
KANG IPIN TELKOM,5,2023-02-08 00:46:38,Siap,neutral
Opa Wien,5,2023-01-30 04:33:28,Keren...,positive
Itsuki 18,1,2023-01-24 01:37:41,setidaknya jngn prank lah...,negative
lora tyas24,1,2023-01-19 06:45:19,Buat daftar pas pegang ktp sama selfie.loding smpe seharian gabisa di prosesssss,negative
Muhammad Eko Widiyanto,1,2023-01-17 07:26:31,Awal doang bagus.. Sekarang gk guna banyak bermasalah..,negative
BEJO BEJO Chanel,5,2023-01-10 12:42:18,"Jooozzzzz....,👍👍👍👍",neutral
Prima Adi,5,2023-01-06 22:33:06,Mantap,neutral
Susi Mbend,5,2023-01-06 02:12:25,Bagus,neutral
Mamet Su,1,2023-01-04 02:17:33,Lelet aplikasi nya,negative
Wahyu Sulistiyanto76,5,2023-01-01 05:48:48,Ok,neutral
Mareto,5,2022-12-31 16:03:48,"Ada nya aplikasi jss begitu sangat membantu warga Jogja, seperti pengurusan KTP, KK, akta lahir dll, demi kenyamanan warga Jogja mohon terus dikembang kan",neutral
Muhammad Nur Izza,2,2022-12-31 01:41:44,MUH NURiZZA,negative
Donni Purwantio,2,2022-12-29 02:52:39,"Buka Aplikasi JSS Saat masuk ke Layanan, tidak bisa memakai data seluler, kenapa harus pakai wifi?",negative
Prandita Jalu,1,2022-12-26 03:00:26,Untuk membuat akun awal selalu gagal di foto KTP apalagi mau mempergunakan aplikasi JJS 🤦,negative
Ubaidillah Ridwan Asyhari,1,2022-12-19 02:55:37,"Aplikasi pemerintah, tapi pelayanan dari Kominfo kurang fast, mohon maaf, saya mau mendaftar dan verifikasi nya sangat lama dari tim Kominfo nya, mohon bisa di perbaiki lagi kinerja nya karena merupakan pelayanan masyarakat🙏🏻",negative
Dody Winardono,5,2022-12-17 14:23:57,Aplikasi yang sangat bermanfaat bagi masyarakat kota yogyskarta,positive
RAW Kikan,1,2022-12-14 02:59:12,"Untuk log in selalu ber masalah, dari segi login bagus beda dgn wifi2 lain tapi yang ini kurang akurat log in keseringan gagal, pake data untuk log in juga sama 😖 mohon tinjau ulang kak akses tersebut",negative
Nanda Putri Astuti,5,2022-11-30 18:03:06,Sangat baikk,positive
ahmad deni,1,2022-11-29 07:57:04,"Pendaftaran perlu foto KTP dan foto KTP dengan diri sendiri. Aplikasi nasional sejenis peduli lindungi aja ga perlu swafoto diri dengan KTP. Saya ragu pemerintah bisa jaga data. Lagi pula untuk apa swafoto dengan KTP. Salah salah mengamankan data, jika dicuri bisa dijadikan pinjol dan kejahatan lainnya. Sangat tidak ramah dengan privasi",negative
Muhammad Yanuar Rizaldi,2,2022-11-24 14:05:12,"Tolong untuk WiFi daerah RT 27 RW 06 sangat jelek, bahkan tidak bisa di pakai",negative
Lung Ayu Matsyarini,2,2022-11-24 12:38:58,"Tolong akses CCTV diperbaiki, skrg tbtb ndak bisa dipakai🙏",negative
Akun Zafa,4,2022-11-23 13:19:59,Maju terus Jogjakita,positive
frida item,5,2022-11-23 00:35:05,Sangat bermanfaat,positive
Bowo Linda,5,2022-11-22 22:45:24,Suka banget kayak jogjaku istimewa,positive
Subi Atik,5,2022-11-20 05:54:15,Sangat membantu,positive
Sas Abemik,5,2022-11-19 05:01:33,Sangat memberikan pencerahan dan semangat dalam berusaha. Terimakasih sibakul,positive
Pengguna Google,5,2022-11-18 07:29:06,"Pelayananya ramah, cepat, tempatnya nyaman bgt...anak2 friendly... Bisa ngprint dokumen sndri.. Ada layanan wifi gratis.. Mantep..👍",positive
FY Indonesia,1,2022-11-15 22:45:11,"Jelek dan sering troble jss, terlihat pemerintah kota sendiri seperti tidak siap dan terkesan di paksakan, dari infrastruktur pendukung, kualitas sdm untuk pengembangan dan perawatan tidak mumpuni di bidangnya. Saran kedepan pemerintah harusnya berfokus pada skil, pengalaman ataupun keterampilan dalam perekrutan SDM, jangan cumua ijasah dan test tertulis doank, karna teori sama praktek beda jauh, kedepan pemkot harus berkaca dari luar negri mereka tidak berfokus pada ijasah tapi skil.",negative
Nugroho Wicaksono,1,2022-11-15 04:07:41,"Habis update tidak bisa diakses, Mohon diperbaiki, Web juga tidak bisa diakses",negative
deraLOVA,3,2022-11-14 06:35:48,"Sangat membantu, tetap semangat jogja",positive
Ressa Adisan,4,2022-11-13 05:40:29,"belum maksimal ,masih banyak kekurangan",negative
ayo jilmek,1,2022-11-13 05:39:47,"tolong diperbaiki lagi, nyambung wifi buat buka situs situs lainya ga bisa trus,main youtube aja dipersulit",negative
Sugeng Widodo,5,2022-11-08 14:35:01,👍sangat membantu,positive
el Gatō,3,2022-11-08 11:25:55,susah bikin akun buat login,negative
johannes darwanto,5,2022-11-08 06:52:06,Optimal,positive
Rusmiyati Abdul Rasyid,5,2022-11-07 10:45:03,Penting dan bermanfaat,positive
Ahmad andri Kurniawan,5,2022-11-06 23:33:29,Bagus,positive
Sopo Jarwo,5,2022-11-02 11:07:50,Saya salut buat pelayanan pemerintah kota Yogyakarta semakin baik,positive
adie prayetno,5,2022-11-02 09:47:28,Bagus,positive
Aris Setiawan,1,2022-11-02 06:10:19,Tidak bisa login,negative
Dtya Pratama,5,2022-11-01 20:27:19,klk mau liat cctv Jogja di gogle jg ada loh,neutral
Gito Asmoro,5,2022-10-31 05:14:10,Aplikasi ini sangat membantu masyarakat kota Yogyakarta,positive
Muhammad Hasbi Asshiddiqie,1,2022-10-29 09:15:57,Cctv error,negative
SD N Suryodiningratan II,5,2022-10-28 07:54:39,Bagus lengkap,positive
Iqbal Bangkit,3,2022-10-28 05:46:54,Respon chat livenya terlalu lama kurang fast respon,negative
Virck Soegaly,2,2022-10-27 10:27:57,"Mau daftar,ngisi data diri, pas foto ktp kok cuma putih semua.. gimana ambil fotonya?",negative
MOH. ARIF SUGIYANTO Arif,5,2022-10-27 04:06:23,"Sangat bagus dan sangat membantu dalam pengurusan dokumen² penting. Selama ini tudak ada kendala, lancar² aja.",positive
suparno irawan,5,2022-10-26 06:38:41,Sangat membantu,positive
Khairina Zhaafirah Azalia,5,2022-10-25 10:15:30,Satu akun untuk semua kebutuhan,positive
Roti Tawar,1,2022-10-22 14:55:03,",aplikasi cuma buat penipuan biar cepat habis kuwota anda, Jngn Download aplikasi ini brooo",negative
BAYU TIRTA,1,2022-10-22 03:24:12,Kok sekarang ngak bisa buat login wifi si kot pemkot pekok,negative
Wurdi Yanto,5,2022-10-21 18:25:44,Jogjakarta Joss dalam genggaman,positive
Rositawati,1,2022-10-21 14:33:54,CCTV ga bisa dibuka. Padahal paketan lancar jaya. Ini sih murni dari Aplikasinya,negative
21. Lanang Syahrul K.R,1,2022-10-20 23:42:43,Lama proses aktivasinya sudah lebih dari 1 jam gk selesai² apa jangan² petugasnya lgi bobok atau apa?,negative
Dimas Kusaryanto,2,2022-10-17 04:39:12,"Katanya Smart sevice, tapi bagian CCTV ga bisa di akses. 🙄🙄",negative
Chairunisa Nindy Aqila,3,2022-10-17 02:24:52,"Cctv tidak bisa di play min, error cctv nya. Jadi tidak bisa memantau sikon jalan seperti apa",negative
dHit dHot,1,2022-10-16 03:42:06,offline semua.. 🥱,negative
Dellaayu Anggraeni,1,2022-10-15 04:53:28,Kenapasi kok semua cctv nya gabisa diakses. Jelek bgt kualitasnya.tolong dong pemerintah Jogja dibenerin lagi app ini buat memudahkan rakyat,negative
Rizka Khurotunisa,3,2022-10-14 16:10:27,Mohon untuk akses cctv dapat dibuka untuk agar pengguna dapat maksimal dalam menerima manfaat aplikasi ini,negative
Sen Sen,1,2022-10-13 13:53:02,"CCTV TIDAK BISA MUNCUL SEMUAAA,RASIDO SMART",negative
Arif Setyo Nugroho,3,2022-10-13 09:29:59,Gak bisa play CCTV min..udah coba ganti 5-6 titik CCTV sama semua error 'video can't be played'. Tolong segera diperbaiki min..thanks,negative
Danang Saptoko,5,2022-10-12 02:38:26,Perlu perbaikan,positive
Temi Yunianto,3,2022-10-10 09:10:25,WiFi kok tidak ada akses internet terus,negative
Cynara Devina,1,2022-10-02 08:40:57,"APLIKASI APA-APAAN INI BUAT CHEK PBB AJA GA BISA, MENDING GA USAH ADA APLIKASI",negative
kukuh priyanto,1,2022-09-28 01:32:03,"Dari beberapa hari yang lalu mendaftar di akun JSS tapi tidak bisa masuk. Padahal dari kelurahan diarahkan untuk memakai JSS. Keterangan selalu: Nama Tidak Cocok dengan data kependudukan. Terus harus bagaimana? Kalau seperti ini namanya bukan SMART service, menyusahkan. Terus petugasnya ngapain? Mending cara jadul, sehari jadi",negative
Mas Serujie,1,2022-09-26 15:09:08,Alah ribet,negative
Sholeh Anwar,5,2022-09-15 15:10:07,Cctv'nya sekarang susah dibuka,negative
Ichwan Rizza,2,2022-09-13 07:44:31,Ah aplikasi marai emosi Lemot servernya upload gak selesai² Niat baik tp server gak baik,negative
Galet Soe,5,2022-09-05 03:26:50,Apik tenan,negative
Rudiyanto,1,2022-09-04 00:34:49,Lambat parah,negative
cahyanto hendy,3,2022-09-03 00:51:05,Cctv gak bisa terbuka....barusaja pembaharuan,negative
Arif Hermawan,1,2022-09-02 09:32:42,"Bagi yang tidak bisa login maupun susah daftar atau masalah lainnya, langsung aja hubungi JSS di help desk",negative
Febri Nanda,1,2022-08-31 07:27:49,apl bsk,negative
Virgo 55,1,2022-08-29 23:14:11,"aplikasi apaan ini,mau ganti nomor hp gak bisa.aneh",negative
Tri Cahyo,2,2022-08-27 03:24:42,Sepertinya hnya bisa diakses untuk keperluan jam kantor,negative
Anwar,1,2022-08-26 09:50:29,"Udah daftar disuruh aktivasi ulang. Udah kirim pesan, operator nya online tapi gak ada responnya. 3 hari ditunggu ga di acc. Niat ga sih??",negative
arya widi,2,2022-08-26 03:36:08,Ada fitur CCTV tapi ga bisa dilihat,negative
waode ira,2,2022-08-25 08:18:59,"Lemot bgt,padahal jaringan besar bgt--_--",negative
Jelita TNjanah,3,2022-08-22 17:18:30,"Cctv nya kurang rata, gabisa mantau cowoku jalan sama selingkuhannya",negative
PeLLo Pers,1,2022-08-19 10:14:02,Lama prosesnya,negative
Raihan Daffa,2,2022-08-17 04:03:55,"Foto profil nya eror ga bisa di ubah, jadi saya ga sengaja klik foto yang salah pas mau di ganti lagi ga bisa padahal udah ada tulisan ""foto profil anda berhasil di ubah"" dan udah saya refresh² juga tetap ga bisa tolong di perbaiki",negative
lidwina andani,5,2022-08-10 11:46:06,terimakasih atas layanan kk baru 1 hari jadi,positive
Usman TR,4,2022-08-06 20:22:28,Kadang nga konek,neutral
Heri Istiyanto,5,2022-07-28 00:24:03,"Makin mantabs Aplikasi JSS sekarang, makin banyak aplikasi layanannya, makin stabil aplikasi didalamnya, serta tampilan yang makin oke punya, semangat ya temen-temen semoga aplikasi ini bermanfaat untuk masyarakat umum dan kota jogja pada khususnya.",positive
ValerianZKa,5,2022-07-27 01:58:23,"Kereeeen, sudah ada cctv nya lg.. Tambahkan inovasi2 terbaru..",positive
Tombe Tom,5,2022-07-21 17:55:28,Mantap banget bosku,positive
rizah bayu susanto,1,2022-07-17 14:06:27,"bosok, g guna, daftar ajah dpersulit",negative
Dimas Khoirurrizqi,3,2022-07-16 23:06:08,Masuk ke registrasinya lama bnget ya,negative
Aggus Kencrong,4,2022-07-14 01:34:11,Sangat membantu,positive
Nugroho Danuri,1,2022-07-12 00:40:13,gak stabil :(,negative
ogi putra,1,2022-07-06 11:02:18,Ra genah masa server pemerintah eror bug sperti ini... Gimana ini programer nya .? Bisa di BUG HUNTER sama Hacker kecolongan data dah,negative
Nono,3,2022-07-03 12:06:49,"Membantu, tapi sekarang jjs hotspot saya nggak bisa dipakek, diotak-atik nggak ada hasil",negative
Gilang Ramadhan,3,2022-07-01 13:35:49,Lag WiFi,negative
Kenzie Abenk,2,2022-06-30 01:15:43,Good,positive
Moch Kasbiran,5,2022-06-29 02:56:39,Pelayanan baik,negative
ifsa otnasus,5,2022-06-27 23:45:23,Siplah,neutral
Urip Tirta Jaya,1,2022-06-27 04:36:47,Katanya ada PBB ternyata tidak ada,negative
Farid Wae,1,2022-06-21 22:55:32,Login tidak bisaaaa.,negative
Keri Kabul Widodo,5,2022-06-21 22:22:41,"Aplikasi layanan cukup mempermudah,hanya saja respon petugas perlu ditingkatkan. . ..trima kasih. . ..",neutral
Sayekti 1965,5,2022-06-20 06:35:37,Baik,neutral
Wulan Zandriani,1,2022-06-20 05:59:53,Kok tidak bisa dipake?,negative
Sutiyam riyan,1,2022-06-20 03:00:01,Sudah 4 hari daftar masih muter aja blm bisa masuk aplikasi parah jelekny,negative
tia m,2,2022-06-20 02:12:40,"Buat 4 akun Sudah 2 hari cuma muter semua belum bisa di gunakan , mohon di perbaiki apanya gitu biar proses pendaftaran ya bisa lebih cepat, kalo belum siap pakai aplikasi mending pakai WA aja dulu kaya kemarin",negative
Gidelivaw N,5,2022-06-19 11:52:34,Mantap responnya,positive
micri micri,1,2022-06-15 01:35:56,Sering trouble Kurang smart,negative
susi purwani,3,2022-06-14 08:20:05,pas mau masuk kenapa minta verifikasi trus si,negative
Surya Yoi,1,2022-06-12 17:07:13,Cara mengatasi anda belum melakukan aktivasi jss gimana,negative
Rama Dhan,2,2022-06-10 10:24:18,"Kok pas lagi mau ngeseks WiFi nya malah di suruh login padahal saya sudah login akun jss, kok jadi ke log out sendiri ya, tolong di perbaikin ya 🙏🙏🙏",negative
chandra tjs,1,2022-06-07 10:02:58,"Berulang2 isi form, sampai mau selesai, harus ulang lagi.. ulang lagi. Aplikasi ga bermutu",negative
MUHAMMAD AVIAN,5,2022-06-07 08:24:35,Mantap,positive
Wandes Ss,2,2022-06-06 05:59:05,"Mau daftar kok susah bgt muter"" trs ke menu utama 😖",negative
Farahdi W,2,2022-06-02 06:26:23,Servernya kok down di jam kerja 😔. Kalau maintenance knp saat hari dan jam kerja kantor. Utk mempermudah birokrasi tp knp jd menghambat dan kalau blm siap serentak manual saja dulu. Kalau begini menghambat sekali. ☹️,negative
gusnanda safrudin,2,2022-06-02 03:24:56,"Akses sering error,cukup mengecewakan",negative
HNTR CTR,1,2022-05-29 00:39:16,Regrestasi lambat,negative
Sam Tigis official,1,2022-05-25 16:33:23,Aplikasi gak guna sudah terdaftar tp suruh login terus aneh tolong di perbaiki,negative
Yayasan Fardlu Kifayah,1,2022-05-25 15:34:54,Sulitnya mau login... Gak jadi aja aah.... Sudah dapat WA...tapi di klik gak ada opsi apapun,negative
Iin Nur R,3,2022-05-25 06:54:48,"Minta tolong diperbaiki untuk aplikasi dan sistemnya, terutama di tahap pendaftarannya trouble sekali😭",negative
Dindin latipudin,5,2022-05-24 01:56:41,Alhamdllh,positive
rafidhanan,5,2022-05-17 15:29:11,sangat membantu!!!,positive
Agustinus Doni Margiono,3,2022-05-13 11:50:19,"Saya daftar pelatihan, persyaratan yg saya upload sudah lengkap, tapi tidak lolos administrasi (tidak ada keterangan berkas mana yg bikin tidak lolos)",negative
Kuntoro Adiwibowo,1,2022-05-09 08:39:54,Tambah lelet aja,negative
Hamdani Dani,2,2022-05-08 09:10:12,"Kurang terintegrasi dgn keseluruhan sub sistem, mksh🙏",negative
barrera rangga,1,2022-05-07 23:46:41,Erroorr terooss. Sialllll,negative
isnan Hidayatullah,3,2022-04-27 01:22:39,Alarm notif nya mengganggu sekali,negative
Vista Hartant,2,2022-04-26 19:13:29,"Katanya sih udah sukses pendaftaran, tp link dr whatsapp tidak stuck. Percuma dong isi data dr td tp gagal donggggg tetep kudu bikin manual kekantor. Zzzzz",negative
Eka Rachmawati,5,2022-04-25 03:23:38,sangat membantu,positive
Syamzuardi Priyambodo,1,2022-04-21 17:08:26,lambat,negative
Dwi Antoro,5,2022-04-18 22:02:09,istimewa,positive
pak pieh,1,2022-04-12 08:36:06,Aplikasi jelek mau login pake nama sendiri masak gak bisa dah di pake orang lain katanya...,negative
Kristiana Susilowati,3,2022-04-12 05:38:57,CAHYO,neutral
bambang hadi purwantoro,5,2022-04-11 19:46:18,Pelayanan bagus,positive
Aisyah Kusuma Wardhani,5,2022-04-05 03:02:20,Sangat membantu dan aplikasi ini pekerjaan saya jadi sangat terbantu,positive
Rigent Adv,5,2022-04-04 01:36:02,Semoga bermanfaat,neutral
Dewi Belleza,1,2022-03-29 15:50:44,Pendaftaran vaksin gk bs di buka...cm halaman putih aja,negative
Robinson Sihombing,5,2022-03-29 08:54:22,Sgt bagus dan membantu,positive
Armpepi,1,2022-03-28 15:24:58,"Parah data gw nggak ada, tulisannya hubungi helpdesk untuk di daftar manual. Eh, helpdesk nya dihubungin malah nggak pernah respon. Nggak niat emang buat layanan. Atau emang belum siap. Sekelas Jogja kok layanan ITnya gini. Parah.",negative
Zam Zam Nuur Na'im,2,2022-03-27 07:54:35,"Mau akses wifi gabisa. Padahal udah daftar, udah verifikasi, akun sudah jadi. Tp gabisa akses wifi Jogja.... Serasa dibohongi",negative
Riyanto,1,2022-03-22 08:58:40,Dipake buat lihat pajek bangunan gak bisa,negative
wahyuni sri,1,2022-03-08 03:01:10,"Tidak ada yg bisa menjelaskan, yg jawab robot, untuk saya yg sudah lansia tidak jelas, monggo diperbaiki ada cs yg bisa dihubungi",negative
Eko S,1,2022-03-07 10:35:13,JSS nya sering tdk konek...😓😓😓,negative
Aiko Maharani,1,2022-03-07 05:08:22,Gakk bisaa terusss !!!,neutral
Barnas Aradean,4,2022-03-04 18:00:46,Mengapa layanan buat surat pengantar di versi yg baru malah sudah tidak ada lagi daftar warga yg akan dibuatkan surat pengantar? Padahal ini sangat membantu bagi warga yg tidak punya HP Android apalagi aplikasinya. Mohon perhatian nya.,negative
Hery Kuswanto,1,2022-03-02 03:48:56,"Susah utk dftar pelatihan online, di wa jg yg blz gk niat slow bgt dan gk diblz..",negative
elia kristiawan,5,2022-02-27 16:49:14,Jooooz,neutral
imika jogja,5,2022-02-26 15:35:17,"Nice, the real aplication..",positive
Pak Kun,2,2022-02-25 03:23:06,Aplikasi koq banyak error nya,negative
gatot denjaka,4,2022-02-24 04:51:34,"Untuk pengaduan PJU dan pelayanan Disdukcapil sudah bagus, tapi sayang untuk PELATIHAN dimana ngeklik berkas selalu masuk ke kamera terus, bukan galery (padahal syarat berkas tidak boleh lebih dari 2 MB), ujungnya diminta datang langsung ke dinas terkait untuk dibantu katanya..",neutral
Veronica Yuni,2,2022-02-21 02:57:04,"Aplikasinya sama sekali gak ngebantu...mau login ke linknya ajha susah bener, tulisannya terjadi kesalahan terus, sama gak bisa dibuka.. Tolong apliaksi nya diperbaiki lagi, agar memudahkan masyarakat, sama saja kalau ada aplikasi jss tp tidak bisa digunakan..ujung""nya harus ke balkot jga...",negative
Ismi Budiarti,5,2022-02-17 11:15:48,Ok,neutral
iwandiningrat,5,2022-02-17 04:21:30,Josss,neutral
exnasius agung,1,2022-02-17 00:35:55,Gak bisa loginnn woeee,negative
Burhanudin Acer,5,2022-02-16 10:19:15,Mudah di acces,positive
